date,open,high,low,close,adjustedClose,volume,dividendAmt,splitCoeff
2020-05-22,77.05,77.1,75.5,76.2,76.2,557967.0,0.0,1.0
2020-05-26,77.1,78.25,76.8,76.95,76.95,502549.0,0.0,1.0
2020-05-27,77.05,78.2,76.0,77.9,77.9,491253.0,0.0,1.0
2020-05-28,77.95,80.95,77.3,78.85,78.85,916358.0,0.0,1.0
2020-05-29,78.75,83.75,77.6,83.2,83.2,1467118.0,0.0,1.0
2020-06-01,84.6,86.3,83.7,83.9,83.9,1227840.0,0.0,1.0
2020-06-02,84.15,84.9,82.6,84.35,84.35,660889.0,0.0,1.0
2020-06-03,86.0,87.45,85.5,86.15,86.15,1020142.0,0.0,1.0
2020-06-04,85.2,86.0,84.0,84.9,84.9,633078.0,0.0,1.0
2020-06-05,85.5,88.75,85.1,86.95,86.95,765293.0,0.0,1.0
2020-06-08,90.0,93.1,89.25,90.95,90.95,1631721.0,0.0,1.0
2020-06-09,92.5,92.5,89.4,90.0,90.0,677977.0,0.0,1.0
2020-06-10,90.2,91.5,87.75,88.2,88.2,614938.0,0.0,1.0
2020-06-11,88.8,89.5,86.5,86.9,86.9,483685.0,0.0,1.0
2020-06-12,82.4,84.2,82.0,83.95,83.95,987799.0,0.0,1.0
2020-06-15,84.4,85.95,83.0,84.1,84.1,745805.0,0.0,1.0
2020-06-16,85.1,85.75,82.4,83.85,83.85,1921436.0,0.0,1.0
2020-06-17,83.55,84.7,83.25,84.25,84.25,1638852.0,0.0,1.0
2020-06-18,83.15,84.0,81.85,83.65,83.65,999401.0,0.0,1.0
2020-06-19,84.8,86.25,84.3,85.75,85.75,1527725.0,0.0,1.0
2020-06-22,85.75,86.1,84.1,84.9,84.9,1533349.0,0.0,1.0
2020-06-23,84.95,86.5,84.4,85.75,85.75,2366093.0,0.0,1.0
2020-06-24,86.0,86.7,82.6,83.15,83.15,2303134.0,0.0,1.0
2020-06-25,82.35,83.95,80.1,81.8,81.8,3767960.0,0.0,1.0
2020-06-26,83.5,84.8,82.5,84.15,84.15,2341750.0,0.0,1.0
2020-06-29,84.0,84.1,81.6,82.4,82.4,1690414.0,0.0,1.0
2020-06-30,83.45,83.5,80.7,81.4,81.4,1194242.0,0.0,1.0
2020-07-01,78.8,80.9,78.2,80.5,80.5,3124828.0,0.0,1.0
2020-07-02,81.5,84.1,81.1,81.9,81.9,3163434.0,0.0,1.0
2020-07-03,82.0,83.25,81.6,82.4,82.4,2268719.0,0.0,1.0
2020-07-06,83.0,84.9,82.8,83.75,83.75,3010119.0,0.0,1.0
2020-07-07,83.95,83.95,81.8,81.95,81.95,1964508.0,0.0,1.0
2020-07-08,82.5,82.85,81.0,81.55,81.55,2022504.0,0.0,1.0
2020-07-09,81.0,82.2,79.9,80.2,80.2,1440434.0,0.0,1.0
2020-07-10,80.35,80.35,77.75,78.6,78.6,983954.0,0.0,1.0
2020-07-13,78.65,79.55,78.45,78.9,78.9,1052761.0,0.0,1.0
2020-07-14,78.85,79.0,77.15,77.4,77.4,464633.0,0.0,1.0
2020-07-15,77.7,78.15,75.85,76.25,76.25,2092571.0,0.0,1.0
2020-07-16,77.0,77.0,75.05,76.15,76.15,430838.0,0.0,1.0
2020-07-17,76.1,80.65,76.1,80.35,80.35,973772.0,0.0,1.0
2020-07-20,81.0,81.25,79.25,80.3,80.3,1263915.0,0.0,1.0
2020-07-21,80.3,82.9,80.3,82.4,82.4,892404.0,0.0,1.0
2020-07-22,83.0,83.45,81.75,82.65,82.65,622357.0,0.0,1.0
2020-07-23,82.7,83.8,82.2,82.65,82.65,1214384.0,0.0,1.0
2020-07-24,82.4,82.4,80.25,81.0,81.0,335603.0,0.0,1.0
2020-07-27,81.5,82.0,80.05,80.7,80.7,746388.0,0.0,1.0
2020-07-28,81.3,81.3,79.35,79.95,79.95,358280.0,0.0,1.0
2020-07-29,79.4,80.7,79.3,79.5,79.5,613675.0,0.0,1.0
2020-07-30,79.8,80.25,77.5,77.7,77.7,430539.0,0.0,1.0
2020-07-31,78.35,78.85,77.1,78.4,78.4,567972.0,0.0,1.0
2020-08-03,78.4,78.4,75.6,75.95,75.95,837280.0,0.0,1.0
2020-08-04,76.0,77.65,75.95,76.2,76.2,1168588.0,0.0,1.0
2020-08-05,76.2,77.5,76.2,76.95,76.95,853918.0,0.0,1.0
2020-08-06,77.6,79.95,77.05,77.95,77.95,1287121.0,0.0,1.0
2020-08-07,78.5,79.35,78.1,78.65,78.65,947516.0,0.0,1.0
2020-08-10,79.1,79.7,78.9,79.05,79.05,856678.0,0.0,1.0
2020-08-11,79.25,80.0,78.3,78.45,78.45,381261.0,0.0,1.0
