token,symbol,name,exch_seg
25308,UFIQIPRGVI-MF,UFIQIPRGVI,NSE
1752,UTRQP28P11-MF,UTRQP28P11,NSE
9880,SFMP2DD-MF,SFMP2DD,NSE
18095,BPF02RDR-MF,BPF02RDR,NSE
12464,IGARASHI-BL,IGARASHI,NSE
22142,72WB30-SG,72WB30,NSE
7695,ABSLFTRWDN-MF,ABSLFTRWDN,NSE
14058,SANGHVIMOV-EQ,SANGHVIMOV,NSE
22447,655AS30A-SG,655AS30A,NSE
6819,1025GS2021-GS,1025GS2021,NSE
14771,TARMAT-EQ,TARMAT,NSE
11483,LT-EQ,LT,NSE
517,KTK212DG-MF,KTK212DG,NSE
19859,VFRG-MF,VFRG,NSE
8546,CHALET-EQ,CHALET,NSE
12548,KOTHARIPRO-BL,KOTHARIPRO,NSE
4682,H1122D42RG-MF,H1122D42RG,NSE
767,689MP40-SG,689MP40,NSE
15077,BVCL-BE,BVCL,NSE
12312,COSMOFILMS-BL,COSMOFILMS,NSE
1419,GLOBAL-BL,GLOBAL,NSE
9769,EASTSILK-BE,EASTSILK,NSE
1627,LINDEINDIA-EQ,LINDEINDIA,NSE
8625,SRTRANSFIN-YW,SRTRANSFIN,NSE
5872,ABSLFTRHRQ-MF,ABSLFTRHRQ,NSE
21383,PALASHSECU-EQ,PALASHSECU,NSE
3715,VLSFINANCE-EQ,VLSFINANCE,NSE
3563,ADANIGREEN-EQ,ADANIGREEN,NSE
12322,DALMIASUG-BL,DALMIASUG,NSE
3047,H1146D40DQ-MF,H1146D40DQ,NSE
2907,694CG29-SG,694CG29,NSE
9245,UTDMP31P07-MF,UTDMP31P07,NSE
3004,SUVIDHAA-BL,SUVIDHAA,NSE
3676,VESUVIUS-EQ,VESUVIUS,NSE
9684,KPITTECH-BL,KPITTECH,NSE
19087,KSOLVES-SM,KSOLVES,NSE
16395,MMP-EQ,MMP,NSE
21472,OPTIEMUS-BL,OPTIEMUS,NSE
22086,765UP30-SG,765UP30,NSE
1403,HINDOILEXP-EQ,HINDOILEXP,NSE
4706,LTFMP17CRD-MF,LTFMP17CRD,NSE
13764,BBL-BL,BBL,NSE
2411,JYOTISTRUC-BZ,JYOTISTRUC,NSE
498,SRTRANSFIN-YI,SRTRANSFIN,NSE
23473,UFIMIPRGII-MF,UFIMIPRGII,NSE
2633,PAVNAIND-SM,PAVNAIND,NSE
4607,HD110542DQ-MF,HD110542DQ,NSE
2154,91D130521-TB,91D130521,NSE
11293,UNIENTER-EQ,UNIENTER,NSE
6766,SDFSC30DD-MF,SDFSC30DD,NSE
10604,BHARTIARTL-EQ,BHARTIARTL,NSE
11419,SALZERELEC-BL,SALZERELEC,NSE
8812,H1154D43RG-MF,H1154D43RG,NSE
1361,622KL27-SG,622KL27,NSE
22097,669UP30-SG,669UP30,NSE
12018,SUZLON-EQ,SUZLON,NSE
15096,RMCL-BL,RMCL,NSE
905,KHAICHEM-BL,KHAICHEM,NSE
3423,TATAMETALI-EQ,TATAMETALI,NSE
13688,GATI-EQ,GATI,NSE
138,ROUTE-BL,ROUTE,NSE
193,ARVIND-EQ,ARVIND,NSE
12886,TATACOMM-BL,TATACOMM,NSE
5981,H1261D43DD-MF,H1261D43DD,NSE
19084,NETFIT-EQ,NETFIT,NSE
15271,CORDSCABLE-EQ,CORDSCABLE,NSE
7703,UTDAP30P14-MF,UTDAP30P14,NSE
2953,RECLTD-NG,RECLTD,NSE
12243,BANKBARODA-BL,BANKBARODA,NSE
31764,NTPC-N4,NTPC,NSE
14099,SIYSIL-BL,SIYSIL,NSE
22844,BSLIQPIIDP-MF,BSLIQPIIDP,NSE
866,DHARSUGAR-EQ,DHARSUGAR,NSE
10114,GBGLOBAL-EQ,GBGLOBAL,NSE
17556,MI2MP-MF,MI2MP,NSE
1330,HDFC-EQ,HDFC,NSE
1611,GODHA-BL,GODHA,NSE
20182,ASHOKA-EQ,ASHOKA,NSE
18166,BPF01D2G-MF,BPF01D2G,NSE
12869,KRISHANA-BL,KRISHANA,NSE
12327,DEEPAKFERT-BL,DEEPAKFERT,NSE
21937,66MH31-SG,66MH31,NSE
17971,SBICARD-EQ,SBICARD,NSE
994,652PY30-SG,652PY30,NSE
3588,ABSLFTQCDN-MF,ABSLFTQCDN,NSE
4632,SDFSC23GR-MF,SDFSC23GR,NSE
2021,663HP31-SG,663HP31,NSE
10666,PNB-EQ,PNB,NSE
3654,H1113D41RD-MF,H1113D41RD,NSE
14998,SFMP25DR-MF,SFMP25DR,NSE
12669,PETRONET-BL,PETRONET,NSE
12349,PGHL-BL,PGHL,NSE
4912,IBUCCREDIT-N8,IBUCCREDIT,NSE
14680,GUJAPOLLO-BL,GUJAPOLLO,NSE
13671,MADHUCON-EQ,MADHUCON,NSE
724,TATACOFFEE-EQ,TATACOFFEE,NSE
4007,CORALFINAC-EQ,CORALFINAC,NSE
867,672HR35-SG,672HR35,NSE
9508,ABSLFTSLRG-MF,ABSLFTSLRG,NSE
21950,729MP35-SG,729MP35,NSE
5840,ABSLFTRHDG-MF,ABSLFTRHDG,NSE
18581,KIRLOSBROS-EQ,KIRLOSBROS,NSE
2696,EC2DD-MF,EC2DD,NSE
21362,SALASAR-EQ,SALASAR,NSE
17700,NETFLTGILT-EQ,NETFLTGILT,NSE
18386,SGBMAR24-GB,SGBMAR24,NSE
17477,CONTROLPR-EQ,CONTROLPR,NSE
22119,705TN26-SG,705TN26,NSE
8808,H1154D43DD-MF,H1154D43DD,NSE
22145,695WB35-SG,695WB35,NSE
1910,663PN51-SG,663PN51,NSE
2017,661TS51-SG,661TS51,NSE
29850,GSCLCEMENT-EQ,GSCLCEMENT,NSE
5683,SDFSC26DD-MF,SDFSC26DD,NSE
10162,ORICONENT-BL,ORICONENT,NSE
21792,MPTODAY-SM,MPTODAY,NSE
12073,EXCELINDUS-BL,EXCELINDUS,NSE
25718,POLYMED-EQ,POLYMED,NSE
15628,L&TFINANCE-Y3,L&TFINANCE,NSE
30755,FLFL-BL,FLFL,NSE
1241,659RJ30A-SG,659RJ30A,NSE
10111,UTRQP31P14-MF,UTRQP31P14,NSE
14846,VIPCLOTHNG-BL,VIPCLOTHNG,NSE
4743,H1115D42RQ-MF,H1115D42RQ,NSE
17154,ICICIM150-BL,ICICIM150,NSE
13413,GPIL-BL,GPIL,NSE
22045,538RJ24-SG,538RJ24,NSE
9512,H1118D44DG-MF,H1118D44DG,NSE
27037,TBZ-EQ,TBZ,NSE
18170,BPF01MDD-MF,BPF01MDD,NSE
22162,735CG30-SG,735CG30,NSE
3393,DHFL-Y1,DHFL,NSE
17527,MAHASTEEL-EQ,MAHASTEEL,NSE
3046,543BR24-SG,543BR24,NSE
15274,CORDSCABLE-BL,CORDSCABLE,NSE
3290,UTIRAP29P6-MF,UTIRAP29P6,NSE
21395,MAGADSUGAR-BL,MAGADSUGAR,NSE
8757,UTRGR31P04-MF,UTRGR31P04,NSE
760,CGPOWER-EQ,CGPOWER,NSE
10580,TCI-EQ,TCI,NSE
8710,VRLLOG-BL,VRLLOG,NSE
29869,UFDS2QPIG5-MF,UFDS2QPIG5,NSE
22032,722AP31A-SG,722AP31A,NSE
41,687AP38-SG,687AP38,NSE
19857,VFDP-MF,VFDP,NSE
4370,H1105D42DQ-MF,H1105D42DQ,NSE
24394,EBIXFOREX-BL,EBIXFOREX,NSE
4728,ABSLFTRADQ-MF,ABSLFTRADQ,NSE
2662,542RJ24-SG,542RJ24,NSE
7136,772GS2055-GS,772GS2055,NSE
11075,AGRITECH-BL,AGRITECH,NSE
22218,714KA29-SG,714KA29,NSE
8917,ABSLFTSGDG-MF,ABSLFTSGDG,NSE
13944,PRAENG-BL,PRAENG,NSE
507,PULZ-SM,PULZ,NSE
13045,LIQUIDBEES-BL,LIQUIDBEES,NSE
3375,SURYAROSNI-EQ,SURYAROSNI,NSE
6548,GRPLTD-BL,GRPLTD,NSE
21427,THEINVEST-EQ,THEINVEST,NSE
21,664UP30-SG,664UP30,NSE
18099,JUBLFOOD-BL,JUBLFOOD,NSE
6598,UTRQP30P12-MF,UTRQP30P12,NSE
20915,722AS29-SG,722AS29,NSE
9253,NILAINFRA-EQ,NILAINFRA,NSE
7360,SETFNN50-BL,SETFNN50,NSE
12675,PNB-BL,PNB,NSE
18304,DHFL-NC,DHFL,NSE
4714,FIFMPS4DQD-MF,FIFMPS4DQD,NSE
17181,MANXT50-EQ,MANXT50,NSE
21644,724AP33-SG,724AP33,NSE
13501,ALLCARGO-EQ,ALLCARGO,NSE
2257,697RJ51A-SG,697RJ51A,NSE
20509,MKPL-SM,MKPL,NSE
16708,GOKUL-BL,GOKUL,NSE
14930,SRIPIPES-BL,SRIPIPES,NSE
4741,H1115D42RD-MF,H1115D42RD,NSE
20546,715GA30-SG,715GA30,NSE
22118,689TN25-SG,689TN25,NSE
2951,S&SPOWER-EQ,S&SPOWER,NSE
2246,ERFLNCDI-N4,ERFLNCDI,NSE
1465,ACCURACY-EQ,ACCURACY,NSE
13609,SCPOFA6GR-MF,SCPOFA6GR,NSE
15419,DPSCLTD-EQ,DPSCLTD,NSE
12103,KOPRAN-BL,KOPRAN,NSE
7208,717GS2028-GS,717GS2028,NSE
19366,AHLWEST-EQ,AHLWEST,NSE
25687,JISLDVREQS-BL,JISLDVREQS,NSE
12477,INDOCO-BL,INDOCO,NSE
15409,NESCO-EQ,NESCO,NSE
636,364D141021-TB,364D141021,NSE
2294,MTNL-EQ,MTNL,NSE
5805,UTIDGR30P6-MF,UTIDGR30P6,NSE
13119,QUICKHEAL-BL,QUICKHEAL,NSE
1373,665JK30-SG,665JK30,NSE
3823,IMFFM32ARG-MF,IMFFM32ARG,NSE
11029,INFOBEAN-BL,INFOBEAN,NSE
3550,D1GP-MF,D1GP,NSE
6373,SDFSC28DR-MF,SDFSC28DR,NSE
