token,symbol,name
739,COROMANDEL-EQ,COROMANDEL
6961,MENONBE-EQ,MENONBE
489,ICEMAKE-EQ,ICEMAKE
3748,WEIZMANIND-EQ,WEIZMANIND
11423,DATAMATICS-EQ,DATAMATICS
11262,IGL-EQ,IGL
10473,POWERMECH-EQ,POWERMECH
25482,TIJARIA-EQ,TIJARIA
1879,ACRYSIL-EQ,ACRYSIL
3963,GOCLCORP-EQ,GOCLCORP
3324,SUBROS-EQ,SUBROS
25574,SHAKTIPUMP-EQ,SHAKTIPUMP
3744,FINEORG-EQ,FINEORG
10753,UNIONBANK-EQ,UNIONBANK
13528,GMRINFRA-EQ,GMRINFRA
1372,HINDCOMPOS-EQ,HINDCOMPOS
9939,ONEPOINT-EQ,ONEPOINT
3247,NITIRAJ-EQ,NITIRAJ
22423,TOTAL-EQ,TOTAL
1008,FACT-EQ,FACT
2306,BESTAGRO-EQ,BESTAGRO
13376,UTTAMSUGAR-EQ,UTTAMSUGAR
928,ELECTCAST-EQ,ELECTCAST
20760,RPPINFRA-EQ,RPPINFRA
16669,BAJAJ-AUTO-EQ,BAJAJ-AUTO
2454,CENTRUM-EQ,CENTRUM
2829,ANURAS-EQ,ANURAS
7553,NRBBEARING-EQ,NRBBEARING
13751,NAUKRI-EQ,NAUKRI
11961,REVATHI-EQ,REVATHI
547,BRITANNIA-EQ,BRITANNIA
21423,M100-EQ,M100
24538,MAITHANALL-EQ,MAITHANALL
19679,ICICIGOLD-EQ,ICICIGOLD
18252,SPAL-EQ,SPAL
1927,LIQUIDETF-EQ,LIQUIDETF
6600,GENUSPAPER-EQ,GENUSPAPER
17833,AHLUCONT-EQ,AHLUCONT
20296,GAL-EQ,GAL
21252,AXISNIFTY-EQ,AXISNIFTY
3827,ZUARIGLOB-EQ,ZUARIGLOB
275,AUROPHARMA-EQ,AUROPHARMA
16900,DPWIRES-EQ,DPWIRES
11896,GEOJITFSL-EQ,GEOJITFSL
14418,ASTRAL-EQ,ASTRAL
1565,RVHL-EQ,RVHL
5926,INTELLECT-EQ,INTELLECT
2708,PRAKASH-EQ,PRAKASH
385,MAHLOG-EQ,MAHLOG
12009,IMPAL-EQ,IMPAL
18049,MINDTECK-EQ,MINDTECK
3880,SOMANYCERA-EQ,SOMANYCERA
4391,GULFOILLUB-EQ,GULFOILLUB
14535,GOLDSHARE-EQ,GOLDSHARE
14490,NCLIND-EQ,NCLIND
13451,RATNAMANI-EQ,RATNAMANI
24184,PIIND-EQ,PIIND
3892,HATSUN-EQ,HATSUN
17764,REFEX-EQ,REFEX
13175,NITINSPIN-EQ,NITINSPIN
19233,AARTISURF-EQ,AARTISURF
14309,INDIANB-EQ,INDIANB
21131,TEJASNET-EQ,TEJASNET
4430,JMCPROJECT-EQ,JMCPROJECT
16222,EBBETF0423-EQ,EBBETF0423
2841,LXCHEM-EQ,LXCHEM
3980,TNPL-EQ,TNPL
11852,SURYALAXMI-EQ,SURYALAXMI
13821,RUCHIRA-EQ,RUCHIRA
9348,IOB-EQ,IOB
3918,NATCOPHARM-EQ,NATCOPHARM
1053,UFLEX-EQ,UFLEX
20419,ANDHRACEMT-EQ,ANDHRACEMT
22739,N100-EQ,N100
11343,AFFLE-EQ,AFFLE
17801,LSIL-EQ,LSIL
17541,DAMODARIND-EQ,DAMODARIND
3126,SHREYANIND-EQ,SHREYANIND
19543,HDFCMFGETF-EQ,HDFCMFGETF
3435,AGCNET-EQ,AGCNET
16959,ALKALI-EQ,ALKALI
17927,BAYERCROP-EQ,BAYERCROP
14908,KDDL-EQ,KDDL
1979,LAXMIMACH-EQ,LAXMIMACH
7401,RAJESHEXPO-EQ,RAJESHEXPO
4503,MPHASIS-EQ,MPHASIS
4221,VISAKAIND-EQ,VISAKAIND
422,BHARATFORG-EQ,BHARATFORG
11840,NH-EQ,NH
29962,JUSTDIAL-EQ,JUSTDIAL
13111,ORIENTABRA-EQ,ORIENTABRA
1415,GLOBAL-EQ,GLOBAL
2988,SANDESH-EQ,SANDESH
27095,SWANENERGY-EQ,SWANENERGY
12124,DOLAT-EQ,DOLAT
22277,WORTH-EQ,WORTH
17586,BIRLATYRE-EQ,BIRLATYRE
163,APOLLOTYRE-EQ,APOLLOTYRE
2018,LUMAXIND-EQ,LUMAXIND
13816,DAAWAT-EQ,DAAWAT
6364,NATIONALUM-EQ,NATIONALUM
14952,INDOWIND-EQ,INDOWIND
6951,LINCPEN-EQ,LINCPEN
17933,BEARDSELL-EQ,BEARDSELL
2435,NETFCONSUM-EQ,NETFCONSUM
513,BOMDYEING-EQ,BOMDYEING
27107,SPECIALITY-EQ,SPECIALITY
495,BLUEDART-EQ,BLUEDART
11233,SUVEN-EQ,SUVEN
16986,COUNCODOS-EQ,COUNCODOS
1145,GIPCL-EQ,GIPCL
708,SHRADHA-EQ,SHRADHA
17094,CROMPTON-EQ,CROMPTON
8506,NETFMID150-EQ,NETFMID150
13421,EMKAY-EQ,EMKAY
13404,SUNTV-EQ,SUNTV
20160,CANTABIL-EQ,CANTABIL
16745,RBL-EQ,RBL
25358,PGEL-EQ,PGEL
2783,JUBLINGREA-EQ,JUBLINGREA
2181,BOSCHLTD-EQ,BOSCHLTD
1797,AWHCL-EQ,AWHCL
10176,SETFNIF50-EQ,SETFNIF50
910,EICHERMOT-EQ,EICHERMOT
2912,RIIL-EQ,RIIL
3761,RITES-EQ,RITES
24870,INVENTURE-EQ,INVENTURE
15124,KOLTEPATIL-EQ,KOLTEPATIL
3048,SCI-EQ,SCI
14245,TVSSRICHAK-EQ,TVSSRICHAK
20302,PRESTIGE-EQ,PRESTIGE
1348,HEROMOTOCO-EQ,HEROMOTOCO
2388,NELCO-EQ,NELCO
10188,SHYAMCENT-EQ,SHYAMCENT
15044,DELTACORP-EQ,DELTACORP
21683,BRNL-EQ,BRNL
13839,DONEAR-EQ,DONEAR
17295,NAGAFERT-EQ,NAGAFERT
5142,CIGNITITEC-EQ,CIGNITITEC
13147,PVR-EQ,PVR
2794,RSWM-EQ,RSWM
15883,SHIL-EQ,SHIL
2969,SAKHTISUG-EQ,SAKHTISUG
11703,ALKEM-EQ,ALKEM
25088,ASAHISONG-EQ,ASAHISONG
1708,JAYBARMARU-EQ,JAYBARMARU
24190,SYMPHONY-EQ,SYMPHONY
14537,DISHTV-EQ,DISHTV
14480,GOKULAGRO-EQ,GOKULAGRO
19234,LAURUSLABS-EQ,LAURUSLABS
1964,TRENT-EQ,TRENT
11662,BCP-EQ,BCP
14858,KOTAKGOLD-EQ,KOTAKGOLD
14592,FORTIS-EQ,FORTIS
11543,COFORGE-EQ,COFORGE
3834,BHARATRAS-EQ,BHARATRAS
